idr animal length eff_length est_counts tpm coding main coding_ali main_ali fs pnps nd_pnps N_pnps sd_pnps S_pnps w dN N dS S 5refsp 5sp 10refsp 10sp 20refsp 20sp 5 10 20
octo_c19220_g1_i1 octo 637 471.211 411 436.987 7,322,323,557 7,322 7,322,323,557 7,322 1 0.09922179783083832 35.666666666666664 432.4999999999998 94.33333333333333 113.50000000000024 0.0363 0.0748 406.98 2.061 139.02 0 0.0 0 0.6656655082734381 0 0.7538708535398065 0.6798519401438976 0.6917978927874594 0.7333044634962416
foca_c29401_g1_i1 foca 732 566.417 3811 1686.81 21,666 21,666 21,669 21,669 0 0.07285810147185522 31.166666666666668 499.1666666666664 119.83333333333333 139.83333333333357 0.0248 0.0591 476.3 2.3813 162.7 0 0.0 0 0.7016993202436815 0 0.7134942389365473 0.7059883875921191 0.7159005274608126 0.7463727543025342
cras_c24648_g1_i1 cras 739 690 27005 9510.88 2,659 2,659 3,669 3,669 0 0.04609546198732219 16.166666666666664 512.4999999999998 96.83333333333333 141.50000000000017 0.0215 0.025 487.48 1.1605 166.52 1 0.706834224806801 1 0.7049282691923986 1 0.7280227172495765 0.731493719135197 0.7349561852938561 0.7570257761067968
minu_c26686_g1_i1 minu 733 544.965 24607 7920.67 0,657 0,657 1,669 1,669 0 0.04609546198732219 16.166666666666664 512.4999999999998 96.83333333333333 141.50000000000017 0.0215 0.025 487.48 1.1605 166.52 1 0.6728708508400845 1 0.6769687223603494 1 0.6904678024167836 0.6643376347741582 0.6618756810636247 0.688003952829617
octo_c83021_g1_i1 octo 724 558.211 39520 35469.9 17,686 17,686 23,713 23,713 0 0.23575276057096684 81.99999999999999 526.6666666666666 94.00000000000001 142.33333333333334 0.1254 0.1592 498.66 1.2694 170.34 1 0.8611359245052399 1 0.8564047538504282 1 0.8620853796595456 0.830745079739365 0.8423057525631968 0.8661747716020193
foca_c29653_g1_i1 foca 758 592.417 1665 704.613 2,713 2,713 2,736 2,736 0 0.21598499941403956 72.83333333333333 556.5 88.16666666666666 145.49999999999994 0.1405 0.1369 523.26 0.9744 178.74 0 0.7211799053423742 0 0.7360321690534348 0 0.735076128549845 0.8114592779384748 0.8198710844612814 0.8384404410991723
rari_c6594_g1_i1 rari 742 542.162 30021 17440.8 2,689 2,689 13,713 13,713 0 0.28593581147583796 82.66666666666667 543.5 76.33333333333333 143.5 0.1894 0.1585 512.08 0.8368 174.92 1 0.7940131160237305 1 0.7966435421509777 1 0.8130960921511621 0.857851284101474 0.8591051971605829 0.8704773493739901
cras_c5677_g1_i1 cras 761 712 10901 3720.59 2,704 2,704 11,713 11,713 0 0.21598499941403956 72.83333333333333 556.5 88.16666666666666 145.49999999999994 0.1405 0.1369 523.26 0.9744 178.74 1 0.7560775478866876 1 0.7598452619910522 1 0.7776827003292157 0.7790504124126135 0.781828254898424 0.8016970601604922
minu_c12988_g1_i1 minu 745 556.91 18858 5939.94 1,688 1,688 23,713 23,713 0 0.238270005539227 61.666666666666664 545.1666666666667 67.33333333333334 141.83333333333331 0.1935 0.1191 512.08 0.6154 174.92 1 0.8558529267673979 1 0.865448548756655 1 0.8681650427364908 0.8527050168111467 0.856881552380798 0.8693830823187907
raik_c10006_g1_i1 raik 598 420.143 23208 68443.8 0,513 0,513 19,547 19,547 0 0.33086188771517144 70.66666666666666 397.6666666666665 60.33333333333333 112.33333333333348 0.1853 0.1857 380.15 1.0022 129.85 1 0.8475728777820726 1 0.8831763223089332 1 0.8838129005865265 0.810437200681483 0.8137730437134091 0.8297584224317217
octo_c58322_g1_i1 octo 617 451.211 29008 32209.2 6,537 6,537 10,558 10,558 0 0.3122882660917776 69.33333333333334 407.99999999999983 63.66666666666667 117.00000000000016 0.1929 0.184 391.33 0.9538 133.67 1 0.811010990425233 1 0.8030917235249575 1 0.8128496922112756 0.7771035223146426 0.7907261276190929 0.8156635070601645
eury_eury_c5836_g1_i1 eury 601 442.051 9012 8699.29 0,534 0,534 1,558 1,558 0 0.23919035846724382 56.333333333333336 404.4999999999999 66.66666666666667 114.50000000000013 0.1318 0.1389 386.86 1.0536 132.14 0 0.7752882905480809 1 0.8031131389523144 1 0.8185272409428085 0.8117160484457736 0.817134626235019 0.8353924278084007
cras_c1667_g1_i1 cras 576 527 6198 2858.03 33,537 33,537 37,558 37,558 0 0.15254229937746272 34.33333333333333 390.1666666666665 65.66666666666666 113.83333333333348 0.0832 0.0806 375.68 0.9683 128.32 0 0.8014232883936414 1 0.8064765225958623 1 0.815747453990389 0.8281688803935523 0.8319288737615985 0.843895195727389
rari_c3652_g1_i1 rari 571 371.946 14579 12345.8 1,526 1,526 16,558 16,558 0 0.21602787456446024 46.5 405.9999999999999 61.5 116.00000000000014 0.1416 0.1163 389.09 0.821 132.91 1 0.6816111645106322 1 0.6855894472932399 1 0.7104798157683923 0.7762443040367595 0.777634476676648 0.7930386797820517
foca_c30119_g1_i1 foca 609 443.417 2948 1666.78 0,540 0,540 11,558 11,558 0 0.23919035846724382 56.333333333333336 404.4999999999999 66.66666666666667 114.50000000000013 0.1318 0.1389 386.86 1.0536 132.14 0 0.7679973468835759 0 0.7689628337539044 0 0.7633602192056318 0.8060561959401087 0.8122919137991277 0.8295738580588129
harp_c18311_g2_i1 harp 924 740.801 276 1093.03 1,922 1,922 33,954 33,954 0 0.06593679544499219 28.0 528.6666666666666 132.0 164.33333333333337 0.0168 0.0416 516.55 2.4717 176.45 0 0.706843500864691 0 0.7047421534245271 0 0.737669145687817 0.6012686375963826 0.5999876284859883 0.6313598998160433
octo_c8155_g1_i1 octo 727 561.211 527 470.464 24,726 24,726 24,726 24,726 0 0.06593679544499219 28.0 528.6666666666666 132.0 164.33333333333337 0.0168 0.0416 516.55 2.4717 176.45 0 0.0 0 0.6690208261651894 0 0.7339685166674735 0.6846225404648556 0.6937199710298588 0.7284943198975113
octo_c70426_g1_i1 octo 402 236.392 11463 24294.5 1,280 1,280 5,290 5,290 0 0.1779999999999999 26.000000000000004 216.66666666666669 40.0 59.3333333333333 0.0785 0.1162 205.73 1.4798 70.27 0 0.0 1 0.7637928315161815 1 0.7694187354745246 0.766465285783408 0.7729388683910599 0.7974998360288881
cras_c3754_g1_i1 cras 337 288 2350 1982.9 23,287 23,287 23,290 23,290 0 0.17391304347826075 24.0 207.00000000000003 38.0 56.99999999999997 0.1031 0.1207 196.78 1.1711 67.22 0 0.7702147682912984 0 0.7663935525839448 1 0.7838870827015453 0.7920076368828303 0.7939923410220039 0.8106681368082747
minu_c34451_g1_i1 minu 329 152.028 3859 4452.71 6,270 6,270 23,290 23,290 0 0.13597479375942267 19.166666666666668 205.83333333333334 39.83333333333333 58.16666666666665 0.075 0.0931 196.78 1.2422 67.22 1 0.835581538573655 1 0.8395707494425156 1 0.8347161710108084 0.8326615505489479 0.82787054548942 0.8360929951332662
foca_c32256_g1_i1 foca 341 176.659 58702 83306.9 2,278 2,278 12,290 12,290 0 0.1779999999999999 26.000000000000004 216.66666666666669 40.0 59.3333333333333 0.0785 0.1162 205.73 1.4798 70.27 1 0.7417489389822151 1 0.7380781546543296 1 0.7395231351692272 0.829713105403091 0.8311978851574806 0.846943144244318
eury_eury_c19129_g1_i1 eury 469 310.051 7825 10769.3 19,286 19,286 23,290 23,290 0 0.11326092582841737 18.5 209.83333333333334 44.5 57.16666666666665 0.0486 0.084 199.02 1.731 67.98 1 0.8081124354147653 1 0.8261963681194886 1 0.8317959804836812 0.8131858038341436 0.816304072718106 0.8323459955682003
rari_c876_g1_i1 rari 333 148.74 7952 16839.1 10,280 10,280 19,290 19,290 0 0.12156862745098035 15.5 212.50000000000003 34.5 57.49999999999998 0.0761 0.0719 201.25 0.9438 68.75 1 0.7342056227918383 1 0.724445410382325 1 0.7420991720603394 0.7975370681012524 0.7975008186991633 0.8133328788786547
minu_c13297_g1_i1 minu 705 516.965 5635 1912.07 1,649 1,649 30,678 30,678 0 0.09570105291688638 41.83333333333333 522.3333333333331 105.16666666666666 125.66666666666686 0.0447 0.0794 483.01 1.7755 164.99 0 0.7135333099370105 0 0.7176003568453406 1 0.7331866322234232 0.703735265178478 0.704304272683851 0.7333042355143061
eury_eury_c9426_g1_i1 eury 729 570.051 10333 7734.78 31,670 31,670 39,678 39,678 0 0.11217598831562882 40.0 514.8333333333331 86.0 124.16666666666686 0.0669 0.0797 476.3 1.1919 162.7 0 0.7051240019316897 1 0.743310347126185 1 0.7596740408718424 0.7534424114162865 0.7576805754126563 0.7827323898412756
petz_comp28290_c0_seq1 petz     2,668 2,668 10,678 10,678 0 0.08451385195571258 34.5 530.3333333333331 97.5 126.66666666666687 0.0434 0.0613 489.72 1.4131 167.28       0.7589234861041826 0.7625912510785001 0.7897361145010402
octo_c19316_g1_i1 octo 691 525.211 2228 2125.31 2,659 2,659 14,678 14,678 0 0.08451385195571258 34.5 530.3333333333331 97.5 126.66666666666687 0.0434 0.0613 489.72 1.4131 167.28 0 0.0 0 0.7250883101265664 0 0.7826140813350433 0.7667363507288636 0.7776363945862657 0.8060723084727782
rari_c9086_g1_i1 rari 711 511.162 3101 1910.79 7,658 7,658 23,678 23,678 0 0.10441769658121058 42.166666666666664 522.9999999999998 98.83333333333333 128.00000000000023 0.0493 0.0755 485.25 1.5296 165.75 0 0.5995214419124935 0 0.6067052409302055 0 0.6374003560518241 0.7395008195655894 0.7414200242112676 0.765583208203297
foca_c10073_g1_i1 foca 783 617.417 22331 9067.62 27,675 27,675 30,678 30,678 0 0.10448829227568494 41.5 521.3333333333331 96.5 126.66666666666684 0.0627 0.0828 483.01 1.3207 164.99 1 0.7598930903847504 1 0.7620036205857502 1 0.7638935646077135 0.7706385313043398 0.7798911439806777 0.8074640729734721
petz_comp27888_c0_seq1 petz     5,686 5,686 30,727 30,727 0 0.14221071658869244 68.33333333333333 528.1666666666664 122.66666666666667 134.8333333333336 0.0459 0.1322 494.19 2.8792 168.81       0.6852995192509546 0.6900198442766895 0.7205459175936452
octo_c45647_g1_i1 octo 790 624.211 6062 4865.49 23,689 23,689 26,727 26,727 0 0.13485216753562443 59.166666666666664 528.333333333333 111.83333333333333 134.6666666666669 0.0563 0.1129 494.19 2.0061 168.81 0 0.0 0 0.6931692624285212 1 0.7341881171792692 0.7513299868236826 0.7598403841418726 0.7879309538625197
rari_c8620_g1_i1 rari 747 547.108 8958 5157.14 2,686 2,686 28,727 28,727 0 0.11019920175470156 49.83333333333333 541.3333333333331 114.16666666666667 136.66666666666686 0.041 0.084 505.37 2.0499 172.63 0 0.6235034961235365 0 0.6163987062760575 1 0.6606434231243838 0.6920972989798897 0.6927249844850394 0.7190384789667275
foca_c30092_g1_i1 foca 787 621.417 469 189.214 10,685 10,685 10,727 10,727 0 0.08535705147544635 36.16666666666667 534.6666666666664 108.83333333333333 137.33333333333357 0.0403 0.0656 500.9 1.6283 171.1 0 0.629906843218912 0 0.6473164311907199 0 0.6476866918917595 0.7056684374980716 0.7111170320143938 0.7410347614461531
cras_c1280_g1_i1 cras 777 728 19065 6364.01 0,699 0,699 7,727 7,727 0 0.10154981193684952 36.83333333333333 550.1666666666665 94.16666666666666 142.83333333333348 0.0584 0.0638 516.55 1.0931 176.45 1 0.6957847736835521 1 0.6950870761585184 1 0.7220093083135196 0.7148911919098792 0.7203330369331878 0.7472230638906939
minu_c36868_g1_i1 minu 794 605.91 6100 1766.01 10,703 10,703 10,727 10,727 0 0.10154981193684952 36.83333333333333 550.1666666666665 94.16666666666666 142.83333333333348 0.0584 0.0638 516.55 1.0931 176.45 0 0.7131772867378766 0 0.725008695079152 1 0.7386673242019917 0.7104633683520936 0.7169860256624422 0.7432999094410992
octo_c34495_g1_i1 octo 558 392.211 210 268.251 1,511 1,511 31,541 31,541 0 0.06839764394758993 26.499999999999996 415.1666666666666 88.50000000000001 94.83333333333344 0.0234 0.0562 380.15 2.4046 129.85 0 0.0 0 0.0 0 0.7343495348351585 0.7263597112810923 0.7387793781681027 0.766541746307237
raik_c13020_g1_i1 raik 534 356.302 245 852.004 2,518 2,518 28,549 28,549 0 0.06707459434219246 23.333333333333332 414.49999999999983 82.66666666666667 98.50000000000018 0.0221 0.0438 382.38 1.9822 130.62 0 0.6085035512916823 0 0.699558097590428 0 0.7412416762128905 0.6695732495933225 0.6774486714702932 0.7059827587626037
rari_c8891_g1_i1 rari 550 351.164 498 446.674 1,517 1,517 25,541 25,541 0 0.06251867638031497 22.833333333333332 417.4999999999998 86.16666666666667 98.5000000000002 0.0257 0.0472 384.62 1.8387 131.38 0 0.5866416572634036 0 0.5829786281159997 0 0.6298439834494537 0.6219162117505083 0.6216706749998245 0.650732603549099
harp_c14794_g2_i1 harp 436 254.154 73 842.656 1,433 1,433 43,475 43,475 0 0.04544161386266648 14.0 348.33333333333337 74.0 83.66666666666664 0.02 0.035 322.01 1.7483 109.99 0 0.8433688880321396 0 0.8349388933101394 0 0.8604190675913844 0.7124775502306034 0.710517729604517 0.7259636016210389
petz_comp28847_c0_seq1 petz     0,510 0,510 31,541 31,541 0 0.04558105909994588 16.166666666666664 412.49999999999983 83.83333333333333 97.50000000000018 0.0219 0.0356 380.15 1.6277 129.85       0.7040613632105976 0.709177818526462 0.7376652248859117
eury_eury_c9177_g1_i1 eury 570 411.051 1481 1537.43 1,541 1,541 1,541 1,541 0 0.06251867638031497 22.833333333333332 417.4999999999998 86.16666666666667 98.50000000000021 0.0257 0.0472 384.62 1.8387 131.38 0 0.0 0 0.6466438267709217 0 0.6772116212912989 0.6746001972017031 0.6815801893402323 0.7136367968300913
rari_c5103_g1_i1 rari 557 358.093 1581 1390.61 9,477 9,477 33,504 33,504 0 0.055001038580533845 18.0 371.83333333333314 82.0 93.16666666666683 0.0113 0.0286 346.61 2.5442 118.39 0 0.521168551676867 0 0.5178375959127435 0 0.5566345066981472 0.5932716911947329 0.5926919053681421 0.6211525843865013
octo_c20016_g1_i1 octo 541 375.211 565 754.422 1,484 1,484 22,508 22,508 0 0.06967333365934776 20.5 381.3333333333332 71.5 92.66666666666679 0.0255 0.04 353.31 1.5694 120.69 0 0.709613732840253 0 0.7133663560240098 0 0.7607339848933191 0.7223947461383283 0.7381149167557908 0.7743815494366015
petz_comp28104_c0_seq1 petz     5,476 5,476 25,500 25,500 0 0.0654696839314372 20.0 377.1666666666665 76.0 93.83333333333348 0.0277 0.0454 351.08 1.6396 119.92       0.6362786627758694 0.6382721315933026 0.6726481197280505
eury_eury_c10472_g1_i1 eury 536 377.051 1582 1790.37 1,478 1,478 19,500 19,500 0 0.067683847913678 20.5 382.8333333333332 74.5 94.16666666666679 0.0202 0.0362 355.55 1.7899 121.45 0 0.0 0 0.0 0 0.675709399862261 0.6549536035269902 0.6614240914590478 0.6947867546652668
foca_c32032_g1_i1 foca 556 390.417 11169 7172.15 1,484 1,484 15,500 15,500 0 0.07087486157253614 22.0 386.99999999999983 77.0 96.00000000000017 0.0326 0.0528 360.02 1.6194 122.98 0 0.6412142052077333 1 0.6719662589764562 1 0.6699919818325951 0.6806188549575195 0.6969100535304611 0.7305014282841564
cras_c4545_g1_i1 cras 574 525 1230 569.34 1,490 1,490 7,500 7,500 0 0.04827153796839675 12.0 387.8333333333332 61.0 95.16666666666681 0.0201 0.0215 360.02 1.0696 122.98 0 0.7014492942812757 0 0.7035659906300361 0 0.728480298495236 0.7133555228733869 0.7202404019416494 0.750963782301186
minu_c33588_g1_i1 minu 588 400.093 2518 1103.99 8,491 8,491 8,500 8,500 0 0.04827153796839675 12.0 387.8333333333332 61.0 95.16666666666681 0.0201 0.0215 360.02 1.0696 122.98 0 0.6464400858348989 0 0.6535732012956704 1 0.6752688525082824 0.6383235461974429 0.6457743951719497 0.6829519846463971
octo_c23044_g1_i1 octo 1854 1688.21 353 104.759 6,1851 6,1851 6,1874 6,1874 0 0.0868435100080454 90.16666666666667 1196.8333333333321 296.8333333333333 342.16666666666794 0.0156 0.065 1147.15 4.1675 391.85 0 0.0 0 0.6598848344993363 0 0.7330441948049508 0.6980685652925277 0.7094962723336828 0.7472798143722401
harp_c19252_g1_i1 harp 1745 1561.8 609 1143.97 183,897,898,1744 895,1744 205,919,920,1792 917,1792 1 0.0868435100080454 90.16666666666667 1196.8333333333321 296.8333333333333 342.16666666666794 0.0156 0.065 1147.15 4.1675 391.85 0 0.6339065230584875 0 0.6368320988681128 0 0.66735251980361 0.5927355978274592 0.5889760541195135 0.6199726161084269
harp_c20201_g2_i1 harp 615 431.895 437 2968.44 2,578 2,578 2,581 2,581 0 0.1003783084242829 33.83333333333333 399.49999999999983 88.16666666666666 104.50000000000016 0.036 0.0784 375.68 2.181 128.32 0 0.7084031397172513 0 0.6960687667645983 0 0.7193107817567055 0.5733942708035025 0.5747524787912335 0.6098752442060278
octo_c7455_g2_i1 octo 511 345.211 439 637.12 1,508 1,508 63,572 63,572 0 0.1003783084242829 33.83333333333333 399.49999999999983 88.16666666666666 104.50000000000016 0.036 0.0784 375.68 2.181 128.32 0 0.0 0 0.651353918551738 0 0.7071964184563388 0.7261010038681415 0.7302629489072927 0.7612826220927679
eury_eury_c2879_g1_i1 eury 739 580.051 4559 3353.81 24,669 24,669 61,709 61,709 0 0.06259894819209157 21.5 511.6666666666664 89.5 133.33333333333357 0.0354 0.0353 480.77 0.9977 164.23 0 0.8300951556873113 0 0.8611172218037274 0 0.8742249176344232 0.8384395782333646 0.8420518469905677 0.8547609017259993
octo_c58805_g1_i1 octo 737 571.211 4597 4031.99 21,663 21,663 51,709 51,709 0 0.07439033891702393 36.166666666666664 509.9999999999998 125.83333333333333 132.00000000000026 0.019 0.0582 478.54 3.0665 163.46 0 0.0 0 0.834783160697993 1 0.8565979629950677 0.8083861550793672 0.8219954920870396 0.8486137598493015
rari_c6399_g1_i1 rari 723 523.162 9463 5697.22 1,679 1,679 7,709 7,709 0 0.10935992280476046 45.33333333333333 518.1666666666665 108.66666666666667 135.83333333333343 0.0415 0.0764 487.48 1.8406 166.52 0 0.0 0 0.0 1 0.766249009188027 0.7728199341061832 0.7715612933759111 0.7840677867865646
petz_comp28053_c0_seq1 petz     20,671 20,671 36,709 36,709 0 0.09261842999067271 32.16666666666667 514.8333333333331 89.83333333333333 133.16666666666688 0.0414 0.0527 483.01 1.274 164.99       0.7972465310688044 0.8040568263619995 0.8245294657611183
foca_c4451_g1_i2 foca 725 559.417 387.788 173.789 4,658 4,658 32,709 32,709 0 0.10935992280476046 45.33333333333333 518.1666666666665 108.66666666666667 135.83333333333343 0.0415 0.0764 487.48 1.8406 166.52 0 0.7469210347779145 0 0.7558620608196231 0 0.7461510604482497 0.8210790264434717 0.8285589513594691 0.8469289046903833
cras_c6294_g1_i1 cras 714 665 1980 723.551 7,655 7,655 32,709 32,709 0 0.11813881482755678 45.333333333333336 513.3333333333331 100.66666666666666 134.66666666666686 0.0473 0.074 483.01 1.5633 164.99 0 0.8152597164115467 0 0.8247625543727791 0 0.8316870190991841 0.8429025023906205 0.8507003379996272 0.8638606319633385
minu_c21536_g1_i1 minu 756 567.91 20527 6340.41 53,695 53,695 53,709 53,709 0 0.12369858777445654 42.0 508.6666666666664 89.0 133.33333333333357 0.0732 0.0772 478.54 1.0556 163.46 1 0.8363213989839962 1 0.8421054952604368 1 0.8455473766003274 0.8320792927872663 0.834617126571053 0.8457861982820256
rari_c10893_g1_i1 rari 1124 924.048 3072 1047.12 0,1077 0,1077 18,1126 18,1126 0 0.18048247517615307 123.66666666666667 859.1666666666675 171.33333333333334 214.83333333333243 0.0643 0.1454 800.55 2.2612 273.45 0 0.0 0 0.0 0 0.6107965492851604 0.6823111508056952 0.6842912719212826 0.7117298953028073
harp_c21988_g1_i1 harp 1048 864.801 394 1336.61 1,994 1,994 110,1126 110,1126 0 0.11503543191688641 74.5 788.5000000000006 165.5 201.4999999999994 0.0517 0.0947 737.93 1.8314 252.07 0 0.7417799113277119 0 0.7375075449237898 0 0.7630065035183028 0.6651903356123641 0.6644200397968723 0.6903482051135971
